shapeid,x,y,transit
382,-71.10775812,42.39011993,yes
383,-71.10782845,42.39015174,yes
384,-71.0983939,42.39033156,yes
385,-71.15388054,42.39053192,yes
386,-71.1541237,42.39055113,yes
387,-71.08224305,42.39048081,yes
388,-71.10879799,42.39057941,yes
389,-71.09020885,42.39054092,yes
390,-71.15680593,42.3908303,yes
391,-71.0901108,42.39071133,yes
392,-71.15693934,42.39095173,yes
393,-71.10928728,42.39080899,yes
394,-71.07012026,42.39096549,yes
395,-71.12313101,42.39124524,yes
396,-71.09926991,42.39119136,yes
397,-71.0993174,42.39123723,yes
398,-71.12329375,42.39144832,yes
399,-71.11069951,42.39144598,yes
400,-71.11075271,42.39147063,yes
401,-71.15745262,42.39162361,yes
402,-71.16124164,42.39171729,yes
403,-71.16178287,42.39178703,yes
404,-71.11918966,42.39167133,yes
405,-71.15750929,42.39180542,yes
406,-71.09158016,42.39160128,yes
407,-71.11931935,42.39180811,yes
408,-71.08490173,42.39195887,yes
409,-71.11220839,42.39213483,yes
410,-71.08378686,42.38167837,yes
411,-71.10187923,42.38194436,yes
412,-71.06841443,42.38182384,yes
413,-71.10213965,42.38203001,yes
414,-71.08181916,42.38199147,yes
415,-71.06875112,42.38199112,yes
416,-71.09825,42.3821137,yes
417,-71.08132694,42.38207203,yes
418,-71.13082021,42.38229744,yes
419,-71.13113028,42.38233276,yes
420,-71.09841279,42.38228674,yes
421,-71.07994345,42.38225336,yes
422,-71.13111121,42.38245489,yes
423,-71.07902439,42.38237408,yes
424,-71.07886393,42.38240949,yes
425,-71.06968463,42.38244942,yes
426,-71.09019041,42.38253607,yes
427,-71.06975531,42.38248501,yes
428,-71.09016185,42.38259608,yes
429,-71.1040715,42.3826584,yes
430,-71.1041881,42.38269695,yes
431,-71.09102423,42.38265666,yes
432,-71.0718245,42.38320939,yes
433,-71.10698443,42.38333688,yes
434,-71.10707137,42.38335687,yes
435,-71.07179696,42.38329162,yes
436,-71.07153955,42.38336037,yes
437,-71.07160683,42.3833915,yes
438,-71.13416779,42.38387641,yes
439,-71.08949129,42.3837476,yes
440,-71.10917822,42.38383257,yes
441,-71.08945774,42.38379322,yes
442,-71.07487316,42.38374837,yes
443,-71.07228982,42.38375453,yes
444,-71.10968631,42.38394221,yes
445,-71.07649862,42.38394091,yes
446,-71.0920407,42.3840174,yes
447,-71.07627676,42.38411811,yes
448,-71.10031487,42.38427312,yes
449,-71.08901923,42.38428937,yes
450,-71.11949883,42.38448413,yes
451,-71.1356796,42.38454914,yes
452,-71.0727601,42.38440458,yes
453,-71.13588387,42.38463853,yes
454,-71.11196643,42.38464274,yes
455,-71.09280864,42.38461039,yes
456,-71.11204271,42.38467818,yes
457,-71.08866926,42.38469344,yes
458,-71.11933843,42.38488845,yes
459,-71.10013641,42.38494737,yes
460,-71.0940503,42.38509853,yes
461,-71.13736597,42.38529228,yes
462,-71.13743728,42.38532332,yes
463,-71.09427267,42.38518636,yes
464,-71.1028728,42.38524596,yes
465,-71.07594893,42.38549806,yes
466,-71.08801461,42.38574662,yes
467,-71.08780271,42.38574637,yes
468,-71.10449038,42.38581597,yes
469,-71.11430353,42.3858778,yes
470,-71.07338078,42.38576017,yes
471,-71.08775727,42.38581712,yes
472,-71.11436891,42.38591386,yes
473,-71.13895985,42.38600184,yes
474,-71.11370472,42.38597634,yes
475,-71.0961538,42.38592744,yes
476,-71.07252477,42.38601286,yes
477,-71.09664979,42.38611998,yes
478,-71.13957831,42.3862748,yes
479,-71.07861308,42.38611414,yes
480,-71.11393135,42.38624024,yes
481,-71.16106824,42.38662609,yes
482,-71.10452982,42.38651982,yes
483,-71.09035679,42.38648239,yes
484,-71.14123491,42.38669116,yes
485,-71.09090123,42.38664912,yes
486,-71.08059222,42.38668208,yes
487,-71.09860411,42.38679556,yes
488,-71.09882309,42.38686939,yes
489,-71.09158322,42.38685932,yes
490,-71.08070254,42.38682165,yes
491,-71.14158087,42.38711365,yes
492,-71.07278725,42.38688462,yes
493,-71.08693537,42.38710677,yes
494,-71.08214862,42.3871206,yes
495,-71.08689784,42.38716252,yes
496,-71.11679633,42.38727198,yes
497,-71.0930462,42.38732001,yes
498,-71.09328166,42.38739304,yes
499,-71.08251559,42.3873661,yes
500,-71.11733989,42.38756423,yes
501,-71.10100096,42.38759562,yes
502,-71.10121361,42.38766821,yes
